title,body,labels,assignees,milestone,state,state_reason,
"[PROJ-SETUP-001] Init repo, structura de foldere si conventii Git","Create GitHub repository.
Setup folder structure: /backend, /frontend, /docs.
Implement branching strategy: feature/*, fix/*, chore/*.
Acceptance Criteria:
- Repository is accessible to all 8 team members.
- .gitignore is configured for Java and Node.js.
- Pull Request template is added.",infra;setup,,S1,open,,
"[BE-SETUP-001] Init proiect Spring Boot (structura pachete, profiluri dev/test/prod)","Create Spring Boot application.
Configure profiles: application-dev.yml, application-prod.yml.
Implement layered packages: controller, service, repository, entity, dto.
Acceptance Criteria:
- Application starts successfully on local environment.
- Profile specific properties are correctly loaded.",backend;setup,,S1,open,,
[BE-SETUP-002] Conexiune PostgreSQL + migrari Flyway,"Create database connection config in application.yml.
Inject dependency: spring-boot-starter-data-jpa, flyway-core, postgresql.
Implement initial migration: V1__init_schema.sql.
Acceptance Criteria:
- Application connects successfully to PostgreSQL.
- Flyway executes V1 migration at startup.",backend;database,,S1,open,,
[BE-SETUP-003] Gestionare globala erori si validare (Exception Handler + Bean Validation),"Create GlobalExceptionHandler annotated with @ControllerAdvice.
Implement handlers for: EntityNotFoundException, MethodArgumentNotValidException, IllegalStateException.
Acceptance Criteria:
- API returns standardized JSON error response (timestamp, status, error, message).
- 400 Bad Request is returned for invalid DTOs.
- 404 Not Found is returned for missing entities.",backend;setup,,S1,open,,
[FE-SETUP-001] Init proiect React (Vite) + routing,"Create React Vite project.
Implement routing: react-router-dom setup with basic layouts.
Create structure: /pages, /components, /services, /hooks, /context.
Acceptance Criteria:
- React app runs locally.
- Basic routes (/, /login, /dashboard) are accessible.",frontend;setup,,S1,open,,
[FE-SETUP-002] Client HTTP (Axios) + interceptori JWT,"Create Axios instance: apiClient.
Implement request interceptor: attach Authorization Bearer token.
Implement response interceptor: catch 401 Unauthorized for logout/refresh.
Acceptance Criteria:
- All API calls use the centralized apiClient.
- JWT token is automatically injected in headers if it exists in local storage/context.",frontend;setup,,S1,open,,
"[FE-SETUP-003] Design system de baza (tema, tipografie, componente reutilizabile)","Create base UI components: Button, Input, Card, Modal.
Implement CSS variables/Tailwind config for colors and typography.
Acceptance Criteria:
- Reusable components are available and typed (if using TS).
- UI matches a clean, modern aesthetic suitable for medical software.
- Responsive design variables are set.",frontend;design-system,,S1,open,,
[FE-UX-002] Sistem de notificari UI non-blocante (toast-uri),"Create ToastContext and ToastContainer.
Implement methods: + showSuccess(msg: string), + showError(msg: string).
Acceptance Criteria:
- Toasts appear without blocking UI interactions.
- Native alert() and confirm() are completely avoided.
- Toasts auto-dismiss after 3-5 seconds.",frontend;ux,,S1,open,,
[DB-SCHEMA-001] Schema tabele Utilizatori & Roluri,"Create Flyway migration for Users and Roles.
Implement tables: users (id, username, password, role_id), roles (id, name).
Acceptance Criteria:
- Tables are created in PostgreSQL.
- Roles inserted by default: Administrator, Medic, Receptioner.
- Foreign key constraints are valid.",database;auth,,S1,open,,
"[DB-SCHEMA-002] Schema Medici, Cabinete, Echipamente","Create Flyway migration for clinical resources.
Implement tables: doctors (specialty, schedule, standard_duration), rooms (name/number), equipment (name).
Acceptance Criteria:
- Tables are created with appropriate data types.
- Doctor schedule allows JSONB or relation for flexible weekly hours.",database,,S1,open,,
